Manifest_ID,Record_ID,Row_Number_CSV,Defect_Type,Field_or_Rule,Original_Value,Injected_Value,Expected_Rule_ID,Expected_Detection,Expected_Severity,Developer_Notes
DEF-046,REC-009002,9003,Statistical anomaly / review flag,Temperature_C,84.88,60.20,DQ-024,Review flag only,Review,Extreme but still within configured hard validity range; must not be auto-rejected.
DEF-047,REC-014602,14603,Statistical anomaly / review flag,Temperature_C,87.43,99.80,DQ-024,Review flag only,Review,Extreme but still within configured hard validity range; must not be auto-rejected.
DEF-048,REC-023302,23303,Statistical anomaly / review flag,Temperature_C,73.34,60.20,DQ-024,Review flag only,Review,Extreme but still within configured hard validity range; must not be auto-rejected.
DEF-049,REC-004551,4552,Quality-status inconsistency,Quality_Status vs defect rate,Units=431;Defects=1;Status=PASS,Units=431;Defects=31;Status=PASS,DQ-023,Cross-field business-rule failure,Major,PASS status conflicts with defect rate above 5%.
DEF-050,REC-010451,10452,Quality-status inconsistency,Quality_Status vs defect rate,Units=393;Defects=2;Status=PASS,Units=393;Defects=28;Status=PASS,DQ-023,Cross-field business-rule failure,Major,PASS status conflicts with defect rate above 5%.
DEF-051,REC-015451,15452,Quality-status inconsistency,Quality_Status vs defect rate,Units=429;Defects=4;Status=PASS,Units=429;Defects=31;Status=PASS,DQ-023,Cross-field business-rule failure,Major,PASS status conflicts with defect rate above 5%.
DEF-052,REC-020451,20452,Quality-status inconsistency,Quality_Status vs defect rate,Units=477;Defects=10;Status=REVIEW,Units=477;Defects=34;Status=PASS,DQ-023,Cross-field business-rule failure,Major,PASS status conflicts with defect rate above 5%.
DEF-053,REC-006051,6052,Cross-field/time-window inconsistency,Downtime_Min,1.51,7.50,DQ-022,Business-rule failure,Critical,Reporting interval is 5 minutes; downtime cannot exceed interval.
DEF-054,REC-011551,11552,Cross-field/time-window inconsistency,Downtime_Min,0.00,7.50,DQ-022,Business-rule failure,Critical,Reporting interval is 5 minutes; downtime cannot exceed interval.
DEF-055,REC-016551,16552,Cross-field/time-window inconsistency,Downtime_Min,0.98,7.50,DQ-022,Business-rule failure,Critical,Reporting interval is 5 minutes; downtime cannot exceed interval.
DEF-056,REC-021551,21552,Cross-field/time-window inconsistency,Downtime_Min,0.22,7.50,DQ-022,Business-rule failure,Critical,Reporting interval is 5 minutes; downtime cannot exceed interval.
